declared_library	symbol	source_report
<?>	ttyname_r	jna_iface_hits.txt
util	openpty	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	isatty	jna_iface_hits.txt
<?>	tcgetattr	jna_iface_hits.txt
<?>	tcsetattr	jna_iface_hits.txt
<?>	isatty	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	tcgetattr	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	ttyname_r	jna_iface_hits.txt
<?>	tcgetattr	jna_iface_hits.txt
<?>	tcsetattr	jna_iface_hits.txt
util	openpty	jna_iface_hits.txt
<?>	tcsetattr	jna_iface_hits.txt
<?>	ttyname_r	jna_iface_hits.txt
<?>	isatty	jna_iface_hits.txt
<?>	tcgetattr	jna_iface_hits.txt
<?>	openpty	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	tcgetattr	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	tcsetattr	jna_iface_hits.txt
<?>	isatty	jna_iface_hits.txt
<?>	openpty	jna_iface_hits.txt
<?>	ioctl	jna_iface_hits.txt
<?>	ttyname_r	jna_iface_hits.txt
